formula_id,formula_label,formula,category,status,nodes,time_ms
58,F58,(forall x. ((P(a) -> R(x)))) -> (P(a) -> (forall x. R(x))),Medium,UNKNOWN,52,0.85
59,F59,((forall x. F(x)) and (forall x. G(x))) -> forall x. (F(x) and G(x)),Medium,VALID,9,0.08
60,F60,((exists x. R1(x)) and (forall x. (R1(x) -> R2(x)))) -> (exists x. R2(x)),Medium,UNKNOWN,52,0.77
61,F61,(forall x. (exists y. (R1(x) and R2(y)))) -> ((forall x. R1(x)) and (exists x. R2(x))),Medium,UNKNOWN,52,0.93
62,F62,((forall x. (F(x) or G(x))) and (forall x. (F(x) -> H(x))) and not (exists x. H(x))) -> forall x. G(x),Hard,UNKNOWN,74,1.38
63,F63,((forall x. ((F(x) and (G(x) or H(x))) -> I(x))) and (forall x. ((I(x) and H(x)) -> J(x))) and (forall x. (K(x) -> H(x)))) -> forall x. ((F(x) and K(x)) -> J(x)),Hard,UNKNOWN,52,1.8
64,F64,"(forall x. (exists y. R(x,y))) -> (exists y. (forall x. R(x,y)))",Hard,UNKNOWN,52,1.15
65,F65,((forall x. (F(x) -> H(x))) and (forall x. (G(x) -> H(x)))) -> forall x. ((F(x) or G(x)) -> H(x)),Hard,UNKNOWN,74,1.38
66,F66,"((forall x. forall y. (H(x,y) -> not H(y,x))) and (forall x. forall y. forall z. ((H(x,y) and H(y,z)) -> H(x,z))) and (forall x. exists y. H(x,y))) -> not (exists x. H(x,x))",Hard,UNKNOWN,52,2.53
67,F67,"(forall x. forall y. forall z. ((R(x,y) and R(z,y)) -> R(x,z))) -> forall x. forall y. (R(x,y) -> R(y,x))",Hard,UNKNOWN,52,9.69
68,F68,"((forall x. forall y. forall z. ((R(x,y) and R(y,z)) -> R(x,z))) and (forall x. forall y. (R(x,y) -> R(y,x)))) -> forall x. forall y. (R(x,y) -> R(x,x))",Hard,UNKNOWN,70,11.96
69,F69,"((forall x. exists y. F(x,y)) and (forall x. exists y. G(x,y))) -> forall x. exists y. (F(x,y) and G(x,y))",Hard,UNKNOWN,52,1.8
70,F70,((forall x. (F(x) -> G(x))) and (exists x. not G(x))) -> exists x. not F(x),Hard,UNKNOWN,75,1.09
71,F71,(not (exists x. (S(x) and Q(x)))) and (forall x. (P(x) -> (Q(x) or R(x)))) and ((not (exists x. P(x))) -> exists x. Q(x)) and (forall x. ((Q(x) or R(x)) -> S(x))) -> exists x. (P(x) and R(x)),Hard,UNKNOWN,52,1.41
72,F72,((forall x. (F(x) -> (G(x) or not H(x)))) and (forall x. ((G(x) and not I(x)) -> (F(x) and H(x)))) and (forall x. I(x))) -> forall x. (F(x) -> G(x)),Hard,UNKNOWN,52,1.22
73,F73,((forall x. (G(x) -> F(x))) and not (exists x. (F(x) and H(x)))) -> not (exists x. (G(x) and H(x))),Hard,UNKNOWN,52,0.72
74,F74,((not (exists x. (F(x) and (G(x) or H(x))))) and (exists x. (I(x) and F(x))) and (forall x. (not H(x) -> J(x)))) -> exists x. (I(x) and J(x)),Hard,UNKNOWN,52,0.92
75,F75,"(exists x. forall y. R(x,y)) -> forall x. forall y. R(x,y)",Hard,UNKNOWN,8,0.15
76,F76,((forall x. (F(x) -> G(x))) and (forall x. (F(x) -> H(x)))) -> forall x. (F(x) -> (G(x) and H(x))),Hard,UNKNOWN,52,1.07
77,F77,((forall x. (F(x) -> (G(x) or H(x)))) and (forall x. (G(x) -> I(x))) and (forall x. (H(x) -> J(x)))) -> forall x. (F(x) -> (I(x) or J(x))),Hard,UNKNOWN,74,2.08
78,F78,((exists x. F(x)) and (exists x. G(x))) -> exists x. (F(x) and G(x)),Hard,UNKNOWN,52,0.83
79,F79,"(forall x. forall y. (G(x,y) -> not G(y,x))) -> forall x. not G(x,x)",Hard,VALID,9,0.09
80,F80,"((forall x. forall y. ((F(x) and G(y)) -> H(x,y))) and (exists x. F(x)) and (exists x. G(x))) -> exists x. exists y. H(x,y)",Hard,UNKNOWN,52,2.38
81,F81,"((forall x. forall y. forall z. ((R(x,y) and R(y,z)) -> R(x,z))) and (forall x. R(x,x))) -> forall x. forall y. (R(x,y) -> R(y,x))",Hard,UNKNOWN,52,8.1
82,F82,((exists x. (F(x) and not G(x))) and (forall x. (F(x) -> H(x))) and (forall x. ((J(x) and I(x)) -> F(x))) and ((exists x. (H(x) and not G(x))) -> forall x. (I(x) -> not H(x)))) -> forall x. (J(x) -> not I(x)),Hard,UNKNOWN,52,2.24
83,F83,((forall x. (F(x) -> G(x))) and (forall x. (G(x) -> H(x))) and not (exists x. H(x))) -> not (exists x. F(x)),Hard,UNKNOWN,52,1.14
84,F84,((forall x. P(x) -> forall x. Q(x)) and ((forall x. (Q(x) -> R(x))) -> exists x. (Q(x) and S(x))) and (exists x. S(x) -> forall x. (F(x) -> G(x)))) -> forall x. ((P(x) and F(x)) -> G(x)),Hard,UNKNOWN,49,0.48
85,F85,"((forall x. exists y. R(x,y)) and (forall x. forall y. (R(x,y) -> R(y,x)))) -> forall x. exists y. (R(x,y) and R(y,x))",Hard,UNKNOWN,52,1.78
86,F86,(forall x. (F(x) or G(x))) -> ((forall x. F(x)) or (forall x. G(x))),Hard,UNKNOWN,52,0.79
87,F87,"((forall x. (F(x) -> exists y. (G(y) and H(x,y)))) and (forall x. (G(x) -> I(x)))) -> forall x. (F(x) -> exists y. (I(y) and H(x,y)))",Hard,UNKNOWN,52,1.14
88,F88,"((forall x. forall y. (P(x,y) -> Q(x,y))) and (forall x. exists y. P(x,y))) -> forall x. exists y. Q(x,y)",Hard,UNKNOWN,52,15.97
89,F89,"(forall x. exists y. (P(x,y) and not P(y,x))) -> not (exists x. P(x,x))",Hard,UNKNOWN,52,1.12
90,F90,(forall x. (F(x) -> (G(x) and H(x)))) -> ((forall x. (F(x) -> G(x))) and (forall x. (F(x) -> H(x)))),Hard,VALID,16,0.09
91,F91,((exists x. F(x)) and (exists x. G(x)) and (forall x. (F(x) -> H(x))) and (forall x. (G(x) -> J(x)))) -> exists x. exists y. (F(x) and G(y) and H(x) and J(y)),Hard,UNKNOWN,52,1.4
92,F92,"not (exists y. forall x. ((F(x,y) -> not F(x,x)) and (not F(x,x) -> F(x,y))))",Complex,VALID,14,0.07
93,F93,"((forall x. forall y. forall z. ((R(x,y) and R(y,z)) -> R(x,z))) and (forall x. forall y. (R(x,y) or R(y,x)))) -> forall x. forall y. forall z. ((R(x,y) and not R(x,z)) -> R(z,y))",Complex,UNKNOWN,52,22.86
94,F94,"(forall x. forall y. forall z. ((R(x,y) and R(z,y)) -> R(x,z))) -> forall x. forall y. (R(x,y) -> R(y,x))",Complex,UNKNOWN,52,7.18
95,F95,"((forall x. forall y. forall z. ((F(x,y) and F(z,y)) -> F(x,z))) and (exists x. exists y. F(x,y))) -> exists x. F(x,x)",Complex,UNKNOWN,52,7.81
96,F96,"((forall x. forall y. (F(x,y) -> F(y,x))) and (forall x. forall y. forall z. ((F(x,y) and F(y,z)) -> F(x,z)))) -> forall x. forall y. (F(x,y) -> F(x,x))",Complex,UNKNOWN,72,5.54
97,F97,"((forall x. forall y. forall z. ((P(x,y) and P(y,z)) -> P(x,z))) and (forall x. forall y. (P(x,y) -> P(y,x)))) -> forall x. forall y. (P(x,y) -> P(y,y))",Complex,UNKNOWN,52,10.66
98,F98,"(exists x. forall y. (F(x,y) -> G(x,y))) -> forall x. forall y. (F(x,y) -> G(x,y))",Complex,UNKNOWN,52,0.8
99,F99,"(forall x. forall y. (F(x,y) -> not F(y,x))) -> forall x. not F(x,x)",Complex,VALID,9,0.07
100,F100,"((exists x. F(x)) and (forall x. (F(x) -> exists y. (G(x,y) and F(y))))) -> exists x. exists y. (F(x) and G(x,y) and F(y))",Complex,UNKNOWN,52,0.81
101,F101,"((forall x. exists y. F(x,y)) and (forall x. exists y. not F(x,y))) -> exists x. exists y. (F(x,y) and not F(x,y))",Complex,UNKNOWN,52,1.82
102,F102,"((forall x. forall y. (R(x,y) -> not R(y,x))) and (forall x. forall y. forall z. ((R(x,y) and R(y,z)) -> R(x,z))) and (forall x. exists y. R(x,y))) -> not (exists x. forall y. R(y,x))",Complex,UNKNOWN,52,3.24
103,F103,"((forall x. exists y. (F(x,y) and G(y))) and (forall x. forall y. (F(x,y) -> H(x)))) -> forall x. (H(x) and exists y. G(y))",Complex,UNKNOWN,52,1.51
104,F104,"((forall x. forall y. (F(x,y) -> F(y,x))) and (forall x. exists y. F(x,y)) and (forall x. forall y. forall z. ((F(x,y) and F(y,z)) -> F(x,z)))) -> forall x. F(x,x)",Complex,UNKNOWN,52,42.32
105,F105,"(forall x. exists y. (G(x,y) and not G(y,x))) -> not (exists x. G(x,x))",Complex,UNKNOWN,52,1.19
106,F106,((forall x. (P(x) -> (Q(x) and R(x)))) and (forall x. ((Q(x) and R(x)) -> S(x))) and (forall x. (S(x) -> T(x)))) -> forall x. (P(x) -> T(x)),Complex,UNKNOWN,74,1.93
107,F107,"(exists x. exists y. (F(x,y) and not F(y,x))) -> not (forall x. forall y. (F(x,y) -> F(y,x)))",Complex,UNKNOWN,52,2.12
108,F108,"((forall x. forall y. forall z. ((F(x,y) and F(y,z)) -> F(x,z))) and (forall x. F(x,x))) -> forall x. forall y. F(x,y)",Complex,UNKNOWN,52,8.32
109,F109,"((forall x. exists y. R(x,y)) and (forall x. forall y. (R(x,y) -> forall z. R(y,z)))) -> forall x. forall y. R(x,y)",Complex,UNKNOWN,52,1.91
110,F110,"((forall x. forall y. (A(x,y) -> B(x,y))) and (forall x. forall y. (B(x,y) -> C(x,y))) and (exists x. exists y. A(x,y))) -> exists x. exists y. C(x,y)",Complex,UNKNOWN,52,4.85
111,F111,"((forall x. forall y. (P(x,y) -> Q(x,y))) and (forall x. forall y. (Q(x,y) -> R(y,x))) and (exists x. exists y. P(x,y))) -> exists x. exists y. R(x,y)",Complex,UNKNOWN,52,4.88
112,F112,"((forall x. forall y. forall z. ((R(x,y) and R(y,z)) -> R(x,z))) and (forall x. forall y. (R(x,y) -> R(y,x)))) -> exists x. R(x,x)",Complex,UNKNOWN,52,4.25
113,F113,"((forall x. exists y. (P(x,y) and Q(y))) and (forall x. (Q(x) -> R(x)))) -> forall x. exists y. (P(x,y) and R(y))",Complex,UNKNOWN,52,1.46
114,F114,"((forall x. (F(x) -> exists y. (G(x,y) and H(y)))) and (forall x. forall y. (G(x,y) -> I(x,y)))) -> forall x. (F(x) -> exists y. (I(x,y) and H(y)))",Complex,UNKNOWN,52,1.15
115,F115,"((forall x. forall y. forall z. ((R(x,y) and R(y,z)) -> R(x,z))) and (forall x. R(x,x))) -> forall x. forall y. (R(x,y) or R(y,x))",Complex,UNKNOWN,52,8.35
116,F116,"((forall x. exists y. F(x,y)) and (forall x. exists y. G(x,y)) and (forall x. forall y. ((F(x,y) or G(x,y)) -> forall z. ((F(y,z) or G(y,z)) -> H(x,z))))) -> forall x. exists y. H(x,y)",Complex,UNKNOWN,52,35.2
117,F117,"((forall x. forall y. forall z. ((R(x,y) and R(z,y)) -> R(x,z))) and (exists x. exists y. R(x,y))) -> exists x. R(x,x)",Complex,UNKNOWN,52,7.16
118,F118,"((forall x. (F(x) -> exists y. (G(x,y) and H(y)))) and (forall x. forall y. ((H(x) and G(y,x)) -> J(y)))) -> forall x. (F(x) -> J(x))",Complex,UNKNOWN,52,1.06
119,F119,"((forall x. exists y. R(x,y)) and (forall x. forall y. (R(x,y) -> R(y,y)))) -> forall x. forall y. R(x,y)",Complex,UNKNOWN,52,1.76
120,F120,((forall x. (A(x) -> (B(x) or C(x)))) and (forall x. (B(x) -> D(x))) and (forall x. (C(x) -> E(x))) and (forall x. ((D(x) or E(x)) -> F(x)))) -> forall x. (A(x) -> F(x)),Complex,UNKNOWN,67,2.08
121,F121,"((forall x. forall y. (H(x,y) -> not H(y,x))) and (forall x. forall y. forall z. ((H(x,y) and H(y,z)) -> H(x,z))) and (forall x. exists y. H(x,y))) -> not (exists x. H(x,x))",Complex,UNKNOWN,52,2.21
